,0
1127,1385
1128,695
1129,644
1130,602
1131,488
1132,513
1133,465
1134,446
1135,418
1136,459
1137,375
1138,380
1139,328
1140,348
1141,495
1142,409
1143,655
1144,493
1145,537
1146,722
1147,591
1148,1462
1149,1230
1150,1021
1151,785
1152,874
1153,709
1154,632
1155,590
1156,577
1157,507
1158,467
1159,499
1160,466
1161,569
1162,621
1163,562
1164,508
1165,665
1166,555
1167,626
1168,911
1169,810
1170,842
1171,837
1172,992
1173,725
1174,1105
1175,803
1176,778
1177,723
1178,549
1179,615
1180,776
1181,564
1182,709
1183,18715
1184,3408
1185,32758
1186,10065
1187,1976
1188,1496
1189,1658
1190,1447
1191,13862
1192,11456
1193,2024
1194,1085
1195,833
1196,32644
1197,6092
1198,5394
1199,4788
1200,1933
1201,1823
1202,708
1203,542
1204,611
1205,766
1206,1090
1207,17294
1208,6446
1209,1244
1210,1153
1211,832
1212,557
1213,554
1214,437
1215,401
1216,347
1217,398
1218,339
1219,319
1220,306
1221,337
1222,353
1223,361
1224,401
1225,335
1226,32582
1227,6247
1228,1525
1229,1014
1230,1235
1231,1133
1232,1148
1233,1123
1234,1024
1235,789
1236,627
1237,602
1238,607
1239,509
1240,500
1241,457
1242,503
1243,492
1244,495
1245,501
1246,591
1247,387
1248,500
1249,364
1250,456
1251,892
1252,736
1253,1434
1254,5005
1255,569
1256,575
1257,565
1258,570
1259,459
1260,508
1261,588
1262,605
1263,517
1264,399
1265,621
1266,543
1267,659
1268,603
1269,738
1270,661
1271,808
1272,1250
1273,1272
1274,1054
1275,1148
1276,807
1277,847
1278,642
1279,645
1280,579
1281,593
1282,464
1283,511
1284,673
1285,605
1286,586
1287,626
1288,644
1289,661
1290,528
1291,509
1292,635
1293,1147
1294,788
1295,808
1296,609
1297,738
1298,515
1299,593
1300,694
1301,449
1302,494
1303,538
1304,494
1305,498
1306,600
1307,579
1308,596
1309,540
1310,513
1311,492
1312,544
1313,1937
1314,1034
1315,1024
1316,797
1317,773
1318,553
1319,679
1320,606
1321,584
1322,696
1323,535
1324,530
1325,618
1326,602
1327,554
1328,616
1329,492
1330,650
1331,791
1332,745
1333,816
1334,1052
1335,20637
1336,13307
1337,1776
1338,1002
1339,32713
1340,13264
1341,4832
1342,2272
1343,7574
1344,9519
1345,2093
1346,740
1347,597
1348,568
1349,621
1350,32440
1351,22946
1352,2854
1353,5844
1354,2443
1355,1530
1356,1479
1357,28493
1358,7302
1359,1990
1360,1102
1361,756
1362,949
1363,768
1364,674
1365,579
1366,580
1367,615
1368,740
1369,696
1370,541
1371,684
1372,999
1373,23859
1374,6291
1375,1391
1376,32760
1377,8363
1378,1434
1379,987
1380,1495
1381,22676
1382,6888
1383,2562
1384,595
1385,678
1386,441
1387,417
1388,367
1389,548
1390,746
1391,1200
1392,1315
1393,806
1394,770
1395,779
1396,30065
1397,12042
1398,2451
1399,973
1400,1171
1401,955
1402,883
1403,906
1404,664
1405,598
1406,664
1407,653
1408,687
1409,620
1410,624
1411,876
1412,536
1413,503
1414,623
1415,548
1416,1149
1417,889
1418,650
1419,623
1420,618
1421,622
1422,458
1423,583
1424,620
1425,568
1426,390
1427,385
1428,501
1429,536
1430,529
1431,785
1432,845
1433,818
1434,780
1435,686
1436,685
1437,1212
1438,1216
1439,962
1440,971
1441,830
1442,741
1443,736
1444,658
1445,727
1446,638
1447,664
1448,526
1449,496
1450,522
1451,677
1452,734
1453,827
1454,681
1455,730
1456,661
1457,681
1458,986
1459,809
1460,764
1461,743
1462,625
1463,661
1464,606
1465,752
1466,635
1467,481
1468,749
1469,597
1470,578
1471,456
1472,623
1473,624
1474,520
1475,501
1476,527
1477,560
1478,1231
1479,1491
1480,1307
1481,1242
1482,1101
1483,1133
1484,1071
1485,1008
1486,1040
1487,957
1488,974
1489,685
1490,830
1491,984
1492,770
1493,711
1494,693
1495,634
1496,526
1497,594
1498,601
1499,819
1500,967
1501,711
1502,734
1503,564
1504,504
1505,541
1506,527
1507,520
1508,632
1509,596
1510,360
1511,502
1512,523
1513,761
1514,750
1515,613
1516,544
1517,734
1518,628
1519,691
1520,1531
1521,1014
1522,1072
1523,1034
1524,933
1525,799
1526,841
1527,684
1528,693
1529,677
1530,766
1531,555
1532,772
1533,695
1534,1503
1535,1267
1536,780
1537,514
1538,407
1539,530
1540,1858
1541,1200
1542,756
1543,903
1544,919
1545,1214
1546,925
1547,805
1548,937
1549,939
1550,920
1551,1041
1552,930
1553,799
1554,370
1555,518
1556,629
1557,624
1558,402
1559,359
1560,317
1561,1223
1562,1036
1563,1088
1564,1410
1565,1377
1566,1249
1567,1350
1568,886
1569,604
1570,489
1571,498
1572,474
1573,480
1574,480
1575,659
1576,475
1577,799
1578,592
1579,428
1580,510
1581,607
1582,838
1583,799
1584,1118
1585,1197
1586,1057
1587,1049
1588,955
1589,911
1590,1049
1591,1103
1592,933
1593,1092
1594,937
1595,905
1596,825
1597,756
1598,488
1599,381
1600,449
1601,344
1602,1388
1603,952
1604,1297
1605,1196
1606,1193
1607,1164
1608,1053
1609,1046
1610,964
1611,1060
1612,999
1613,1089
1614,893
1615,939
1616,1101
1617,1096
1618,1079
1619,872
1620,754
1621,771
1622,735
1623,1410
1624,680
1625,535
1626,424
1627,454
1628,466
1629,424
1630,485
1631,482
1632,451
1633,344
1634,329
1635,360
1636,294
1637,446
1638,374
1639,334
1640,289
1641,393
1642,361
1643,402
1644,1208
1645,1041
1646,863
1647,829
1648,747
1649,714
1650,542
1651,488
1652,418
1653,511
1654,468
1655,390
1656,362
1657,379
1658,437
1659,495
1660,387
1661,328
1662,312
1663,307
1664,882
1665,1083
1666,493
1667,394
1668,331
1669,264
1670,320
1671,314
1672,282
1673,239
1674,254
1675,295
1676,299
1677,207
1678,618
1679,479
1680,447
1681,518
1682,427
1683,351
1684,330
1685,1421
1686,1175
1687,949
1688,756
1689,707
1690,503
1691,493
1692,605
1693,516
1694,391
1695,374
1696,625
1697,692
1698,804
1699,792
1700,656
1701,559
1702,382
1703,344
1704,455
1705,691
1706,1453
1707,1020
1708,997
1709,864
1710,847
1711,734
1712,453
1713,707
1714,907
1715,786
1716,1035
1717,1189
1718,1330
1719,765
1720,571
1721,799
1722,697
1723,628
1724,715
1725,718
1726,752
1727,1183
1728,1277
1729,1092
1730,979
1731,566
1732,440
1733,457
1734,615
1735,717
1736,487
1737,348
1738,947
1739,527
1740,473
1741,444
1742,540
1743,566
1744,700
1745,823
1746,821
1747,1127
1748,1083
1749,894
1750,919
1751,815
1752,825
1753,844
1754,901
1755,1188
1756,1028
1757,939
1758,822
1759,847
1760,883
1761,1009
1762,900
1763,962
1764,969
1765,694
1766,705
1767,755
1768,987
1769,1111
1770,874
1771,861
1772,627
1773,532
1774,580
1775,504
1776,412
1777,478
1778,525
1779,385
1780,347
1781,587
1782,575
1783,476
1784,548
1785,501
1786,434
1787,542
1788,842
1789,664
1790,543
1791,472
1792,394
1793,386
1794,327
1795,373
1796,326
1797,305
1798,284
1799,374
1800,276
1801,248
1802,379
1803,356
1804,343
1805,322
1806,383
1807,284
1808,273
1809,1152
1810,1045
1811,880
1812,773
1813,592
1814,549
1815,696
1816,476
1817,480
1818,421
1819,416
1820,512
1821,348
1822,388
1823,457
1824,448
1825,407
1826,409
1827,430
1828,333
1829,359
1830,1184
1831,545
1832,483
1833,369
1834,316
1835,324
1836,396
1837,338
1838,361
1839,313
1840,272
1841,297
1842,405
1843,378
1844,647
1845,575
1846,548
1847,531
1848,507
1849,452
1850,1655
1851,1340
1852,1118
1853,1146
1854,1010
1855,731
1856,1543
1857,691
1858,628
1859,563
1860,558
1861,525
1862,528
1863,505
1864,2483
1865,785
1866,519
1867,484
1868,611
1869,524
1870,547
1871,1265
1872,1882
1873,2302
1874,3320
1875,1966
1876,1691
1877,1835
1878,2876
1879,1767
1880,1384
1881,1277
1882,437
1883,474
1884,846
1885,1105
1886,1056
1887,744
1888,328
1889,275
1890,275
1891,974
1892,2414
1893,1831
1894,2274
1895,1857
1896,1992
1897,1832
1898,2006
1899,1869
1900,1917
1901,1841
1902,1938
1903,1487
1904,1657
1905,1353
1906,917
1907,528
1908,490
1909,697
1910,1264
1911,1372
1912,1352
1913,1954
1914,1434
1915,1828
1916,1560
1917,1423
1918,1206
1919,1995
1920,1395
1921,1536
1922,1341
1923,1666
1924,1465
1925,1644
1926,1562
1927,1444
1928,1504
1929,2128
1930,1737
1931,1658
1932,1954
1933,2233
1934,1773
1935,2043
1936,1607
1937,1426
1938,1063
1939,1088
1940,1533
1941,1152
1942,1208
1943,1075
1944,1194
1945,1187
1946,1259
1947,1257
1948,1435
1949,1295
1950,917
1951,746
1952,624
1953,638
1954,1127
1955,805
1956,627
1957,544
1958,425
1959,459
1960,485
1961,511
1962,449
1963,406
1964,432
1965,342
1966,445
1967,384
1968,499
1969,420
1970,400
1971,436
1972,479
1973,532
1974,505
1975,1602
1976,1392
1977,1281
1978,978
1979,883
1980,917
1981,919
1982,764
1983,1211
1984,698
1985,796
1986,683
1987,3577
1988,612
1989,919
1990,648
1991,465
1992,792
1993,987
1994,653
1995,1754
1996,1492
1997,773
1998,518
1999,527
2000,544
2001,566
2002,439
2003,505
2004,526
2005,765
2006,497
2007,624
2008,925
2009,729
2010,721
2011,578
2012,548
2013,1406
2014,635
2015,510
2016,1600
2017,1388
2018,1207
2019,1119
2020,851
2021,926
2022,1098
2023,1057
2024,656
2025,697
2026,640
2027,469
2028,588
2029,555
2030,1027
2031,1747
2032,1919
2033,1972
2034,1435
2035,1246
2036,1602
2037,1538
2038,1159
2039,1229
2040,512
2041,451
2042,404
2043,533
2044,454
2045,445
2046,380
2047,476
2048,722
2049,833
2050,1281
2051,1139
2052,1297
2053,1034
2054,946
2055,793
2056,682
2057,1736
2058,1505
2059,1505
2060,1440
2061,1411
2062,1036
2063,1362
2064,1247
2065,1466
2066,722
2067,661
2068,600
2069,618
2070,679
2071,580
2072,788
2073,1000
2074,1065
2075,1278
2076,1505
2077,1400
2078,1658
2079,1038
2080,775
2081,925
2082,1467
2083,1265
2084,1193
2085,1464
2086,1525
2087,1465
2088,1340
2089,1317
2090,771
2091,581
2092,841
2093,693
2094,875
2095,873
2096,893
2097,927
2098,1841
2099,2032
2100,1821
2101,1866
2102,1462
2103,1509
2104,1253
2105,1119
2106,1301
2107,1349
2108,1272
2109,1208
2110,1273
2111,1370
2112,1393
2113,1561
2114,2108
2115,1292
2116,1477
2117,1396
2118,1302
2119,2276
2120,1542
2121,1257
2122,996
2123,924
2124,773
2125,790
2126,521
2127,580
2128,550
2129,743
2130,605
2131,550
